,State_Name,District_Name,Crop,Population,Ratio,Per,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
108,Andhra Pradesh,CHITTOOR,Cashewnut,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
109,Andhra Pradesh,CHITTOOR,Coconut ,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
110,Andhra Pradesh,CHITTOOR,Coriander,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
111,Andhra Pradesh,CHITTOOR,Potato,3735202,0.001,8.72,2758.073157,3085.1752,3083.78,3411.234,3409.49,3412.64664,3735.202,4064.696094,4060.911614,4383.6116,4386.62
112,Andhra Pradesh,CHITTOOR,Sweet potato,3735202,0.00125,8.72,3447.591446,3856.474,3854.73,4264.05,4261.87,4265.8158,4669.0025,5080.870118,5076.139518,5479.5195,5483.28
113,Andhra Pradesh,CHITTOOR,Tapioca,3735202,0.00125,8.72,3447.591446,3856.474,3854.73,4264.05,4261.87,4265.8158,4669.0025,5080.870118,5076.139518,5479.5195,5483.28
114,Andhra Pradesh,CHITTOOR,Turmeric,3735202,0.0001875,8.72,517.1387169,578.4716,578.21,639.607,639.28,639.87187,700.350375,762.1305177,761.4209277,821.925925,822.49
115,Andhra Pradesh,CHITTOOR,other oilseeds,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
116,Andhra Pradesh,CHITTOOR,Beans & Mutter(Vegetable),3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
117,Andhra Pradesh,CHITTOOR,Bhindi,3735202,0.00625,8.72,17237.95723,19282.36,19273.64,21320.23,21309.33,21329.059,23345.0125,25404.35059,25380.69759,27397.5775,27416.38
118,Andhra Pradesh,CHITTOOR,Brinjal,3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
119,Andhra Pradesh,CHITTOOR,Cabbage,3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
120,Andhra Pradesh,CHITTOOR,Citrus Fruit,3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
121,Andhra Pradesh,CHITTOOR,Cucumber,3735202,0.003,8.72,8274.21947,9255.5356,9251.35,10233.712,10228.48,10237.94992,11205.606,12194.08828,12182.73484,13150.8348,13159.86
122,Andhra Pradesh,CHITTOOR,Grapes,3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
123,Andhra Pradesh,CHITTOOR,Mango,3735202,0.001,8.72,2758.073157,3085.1752,3083.78,3411.234,3409.49,3412.64664,3735.202,4064.696094,4060.911614,4383.6116,4386.62
124,Andhra Pradesh,CHITTOOR,Orange,3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
125,Andhra Pradesh,CHITTOOR,Other Fresh Fruits,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
126,Andhra Pradesh,CHITTOOR,Other Vegetables,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
127,Andhra Pradesh,CHITTOOR,Papaya,3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
128,Andhra Pradesh,CHITTOOR,Peas  (vegetable),3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
129,Andhra Pradesh,CHITTOOR,Pome Fruit,3735202,0.001,8.72,2758.073157,3085.1752,3083.78,3411.234,3409.49,3412.64664,3735.202,4064.696094,4060.911614,4383.6116,4386.62
130,Andhra Pradesh,CHITTOOR,Tomato,3735202,0.001,8.72,2758.073157,3085.1752,3083.78,3411.234,3409.49,3412.64664,3735.202,4064.696094,4060.911614,4383.6116,4386.62
131,Andhra Pradesh,CHITTOOR,Cowpea(Lobia),3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
132,Andhra Pradesh,CHITTOOR,Lemon,3735202,0.000225,8.72,620.5664603,694.16392,693.85,767.5324,767.14,767.850244,840.42045,914.5566212,913.7051132,986.31311,986.99
133,Andhra Pradesh,CHITTOOR,Pome Granet,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
134,Andhra Pradesh,CHITTOOR,Sapota,3735202,0.000375,8.72,1034.277434,1156.9432,1156.42,1279.214,1278.56,1279.74374,1400.70075,1524.261035,1522.841855,1643.85185,1644.98
135,Andhra Pradesh,CHITTOOR,Soyabean,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
136,Andhra Pradesh,EAST GODAVARI,Arhar/Tur,4872622,0.0005,8.72,1798.972042,2012.1176,2011.42,2224.732,2223.86,2225.43832,2436.311,2650.649559,2648.757319,2859.6958,2861.2
137,Andhra Pradesh,EAST GODAVARI,Bajra,4872622,0.000625,8.72,2248.715053,2515.142,2514.27,2780.92,2779.83,2781.8029,3045.38875,3313.311949,3310.946649,3574.61975,3576.5
138,Andhra Pradesh,EAST GODAVARI,Cotton(lint),4872622,0.00025,8.72,899.4860212,1006.0588,1005.71,1112.366,1111.93,1112.71916,1218.1555,1325.32478,1324.37866,1429.8479,1430.6
139,Andhra Pradesh,EAST GODAVARI,Dry chillies,4872622,0.00025,8.72,899.4860212,1006.0588,1005.71,1112.366,1111.93,1112.71916,1218.1555,1325.32478,1324.37866,1429.8479,1430.6
